SIZE,AVERAGE,BEST,WORST
257,17665,256,32896
388,36555,387,75078
900,204122,899,404550
522,67504,521,135981
687,120337,686,235641
55,784,54,1485
500,62631,499,124750
375,36612,374,70125
280,19657,279,39060
169,6711,168,14196
815,164047,814,331705
354,31794,353,62481
119,3871,118,7021
768,143870,767,294528
362,31744,361,65341
25,171,24,300
407,44093,406,82621
259,17115,258,33411
744,141634,743,276396
784,152269,783,306936
451,52687,450,101475
638,99952,637,203203
174,7449,173,15051
983,238511,982,482653
459,52939,458,105111
701,124036,700,245350
449,50358,448,100576
207,10700,206,21321
705,118516,704,248160
954,226077,953,454581
660,111129,659,217470
530,72198,529,140185
902,199711,901,406351
546,77753,545,148785
49,492,48,1176
476,56614,475,113050
178,7693,177,15753
594,87144,593,176121
522,67973,521,135981
378,35873,377,71253
277,20309,276,38226
845,172790,844,356590
500,59223,499,124750
676,110510,675,228150
842,179186,841,354061
206,11570,205,21115
118,3444,117,6903
266,18233,265,35245
304,24089,303,46056
487,58417,486,118341
932,223884,931,433846
585,86778,584,170820
64,911,63,2016
812,166210,811,329266
52,671,51,1326
337,27039,336,56616
875,198201,874,382375
940,219662,939,441330
130,4372,129,8385
958,230754,957,458403
504,63988,503,126756
727,133097,726,263901
638,102186,637,203203
39,396,38,741
242,14360,241,29161
473,57688,472,111628
772,155889,771,297606
300,21930,299,44850
923,212037,922,425503
92,2315,91,4186
662,111565,661,218791
953,225581,952,453628
64,1089,63,2016
293,21583,292,42778
780,155464,779,303810
681,115324,680,231540
71,1278,70,2485
675,113277,674,227475
13,40,12,78
756,141033,755,285390
30,245,29,435
381,36185,380,72390
567,81978,566,160461
151,5833,150,11325
386,37233,385,74305
407,41286,406,82621
887,194818,886,392941
768,151581,767,294528
187,8542,186,17391
946,214977,945,446985
96,2592,95,4560
39,385,38,741
317,25532,316,50086
827,170321,826,341551
624,98178,623,194376
944,221550,943,445096
358,31771,357,63903
526,67447,525,138075
986,253568,985,485605
91,2000,90,4095
80,1741,79,3160
674,112995,673,226801
710,127437,709,251695
509,61179,508,129286
128,4279,127,8128
615,95673,614,188805
966,230072,965,466095
388,39126,387,75078
53,771,52,1378
20,86,19,190
358,33354,357,63903
2,1,1,1
