SIZE,AVERAGE,BEST,WORST
47,223,221,214
297,2576,2610,2936
544,5480,5443,4995
755,7299,7871,7953
350,3183,3169,3119
308,2617,2474,2632
429,3927,4315,4457
898,10035,9666,9972
710,7341,7044,7279
424,4376,4116,3709
233,2301,1746,2201
359,3080,3020,2913
667,7003,6451,6619
5,6,6,6
54,258,315,295
664,6310,7322,6512
353,2933,2871,3020
476,4709,4410,4982
356,3131,3423,3376
35,146,146,155
469,4064,4089,4177
526,5136,5247,5250
565,5221,5642,5248
573,5808,6029,5831
326,3015,2641,2734
601,5946,6326,6208
666,6960,6855,6382
430,3792,3843,3935
885,9552,10041,9483
635,6637,5930,7456
510,5047,4611,5178
270,2056,2583,2279
866,8680,8723,9247
494,5206,5191,4560
197,1399,1379,1490
588,6423,5577,5594
167,1174,1311,1107
693,6970,6772,7811
462,3862,4425,4179
778,8021,7633,7603
770,7900,7880,7905
264,2011,1983,2281
318,2772,2758,2610
168,1290,1261,1315
114,669,753,773
504,4953,4564,4865
517,4761,4849,4895
347,3384,2986,3580
213,1642,2014,1803
117,879,762,633
605,6155,6021,6303
713,6931,7353,7879
572,5389,6082,5300
501,4587,4787,5031
718,7380,7305,6983
792,9497,8091,8743
655,7308,7013,6509
539,5700,5223,5703
643,5880,6067,6717
203,1387,1443,1516
57,357,373,295
809,7906,8411,8393
559,5494,5731,5169
686,7162,6572,6691
515,4874,4935,4749
151,1050,1075,1011
633,6558,6818,5928
210,1554,1708,1575
451,4565,3892,4425
348,2952,2765,3097
488,4652,4673,4572
852,8880,10106,8779
606,6293,6272,5666
277,2373,2089,2615
409,3805,3714,3516
12,28,36,40
300,2732,2529,2903
417,3704,4439,3840
346,3258,3250,2978
832,8710,8948,10172
723,7919,7264,7924
707,7692,7478,6780
556,5504,5357,5579
119,743,836,740
586,5548,6005,5641
22,81,71,69
611,6399,5868,5970
629,5927,6219,6116
719,7057,6973,8244
856,8725,9169,8574
448,4934,4318,4234
764,8558,7642,8757
831,7957,10016,8967
163,1253,1105,1240
13,29,36,30
246,1905,2088,2639
788,8848,8954,7620
844,9005,9800,8739
28,147,149,109
709,7084,7456,7407
366,3046,3305,3181
111,810,737,706
548,5094,5553,5703
887,9243,10644,9663
269,2307,2241,2117
483,4379,4228,4606
722,7659,6997,7494
362,3081,3262,3096
473,4822,4671,4297
265,2143,2198,2060
589,6231,5858,5820
244,2017,1964,2031
188,1491,1448,1523
825,8409,8992,8777
227,2172,1772,1720
401,3489,3423,4026
245,1995,1889,2456
76,494,433,439
579,6036,6072,5315
275,2213,2388,2378
528,5642,5053,5467
360,3521,3164,3020
98,608,670,608
340,3311,2999,2905
69,431,363,398
224,1763,1567,1759
161,1204,1245,1142
421,3676,3972,3781
549,4777,5360,5059
361,3041,3362,2977
319,2576,2850,2857
855,8747,8903,10690
836,8809,8228,8649
622,5686,5557,5556
471,4682,4683,4966
874,9935,8638,9437
325,2620,3050,2890
803,8917,9123,7831
878,10046,8792,8860
524,5012,4967,5125
724,7295,7694,8612
682,7159,6552,7576
123,817,795,866
872,10001,9145,8275
53,239,302,240
687,7701,6987,7421
853,8498,9670,8954
201,1738,1700,1611
261,2267,2143,2063
74,472,384,430
60,337,320,344
873,8754,9630,8745
640,6945,6932,5919
587,5709,5508,6040
32,145,117,134
185,1256,1378,1598
367,3402,3450,3090
337,3132,3200,3146
442,4076,4164,3885
243,1863,1983,1912
31,126,129,118
381,3472,3470,3371
701,6996,6901,6921
322,2412,2647,2754
467,4127,4081,4338
477,5226,4311,4416
754,8137,7948,8638
423,3846,3654,3911
811,8441,8895,8223
503,4824,4911,4904
334,2842,2914,2708
332,2754,2710,2780
895,10556,10148,9780
